name,type_of_food,address,city,outcode,postcode,URL,rating
Ambers Stonebaked Pizzas,Burgers,18 Balmore Road,Glasgow,G22,6RN,http://www.just-eat.co.uk/restaurants-ambersstonebakedpizza-g22/menu,4
Art Burger Co,Burgers,Unit 126B 99-103 Lomond Grove,London,SE5,7HN,http://www.just-eat.co.uk/restaurants-artburgerco-se5/menu,5
Art Burger Co,Burgers,Unit 126B 99-103 Lomond Grove,London,SE5,7HN,http://www.just-eat.co.uk/restaurants-artburgerco-se5/menu,5
Ashford Charcoal Grill,Burgers,21 Feltham Road,Ashford,TW15,1DQ,http://www.just-eat.co.uk/restaurants-ashford-charcoalgrill-tw15/menu,5
Asraa Shisha Lounge,Burgers,74A Wincheap Road,Canterbury,CT1,3RS,http://www.just-eat.co.uk/restaurants-asraa-shisha-lounge-canterbury/menu,4
Atlantic Fish Bar & Restaurant,Burgers,69-71 Meadow Street,Weston-Super-Mare,BS23,1QL,http://www.just-eat.co.uk/restaurants-atlanticfishbar-bs23/menu,5
B F C,Burgers,261 Dewsbury Road,Leeds,LS11,5HZ,http://www.just-eat.co.uk/restaurants-bfc-ls11/menu,5
B F C,Burgers,261 Dewsbury Road,Leeds,LS11,5HZ,http://www.just-eat.co.uk/restaurants-bfc-ls11/menu,5
Bean Cafe,Burgers,21-23 Commercial Road,Hampshire,SO15,1GF,http://www.just-eat.co.uk/restaurants-beancafe-so15/menu,0
Beast Gourmet Burgers,Burgers,64 Torwood Street,Torquay,TQ1,1DT,http://www.just-eat.co.uk/restaurants-beastgourmetburgers-tq1/menu,5
Benny's Burgertown,Burgers,4 Northam Road,Southampton,SO14,0PA,http://www.just-eat.co.uk/restaurants-bennysburgertown-so14/menu,4
Bibbys Fast Food,Burgers,29 High Street,Crewe,CW2,7BL,http://www.just-eat.co.uk/restaurants-bibbysfastfoodCW2/menu,5
Big Fat Gourmet,Burgers,585 Wandsworth Road,London,SW8,3JD,http://www.just-eat.co.uk/restaurants-bigfatgourmet-sw8/menu,5
